"Symbol ","CA ","Today","Open","High","Low","LTP","Chng","% Chng ","Volume 

(lacs)","Turnover 

(crs.)","52w H","52w L","Past 
365 Days","365 d 
% chng ","Past 
30 Days","30 d 
% chng "
"COALINDIA","","","198.65","199.60","194.50","199.40","1.70","0.86","69.80
6.98 ","137.32
1.37","289.20","177.70","","-29.18","","-2.13"
"MARUTI","","","6,434.00","6,512.80","6,340.00","6,445.70","53.65","0.84","19.30
1.93 ","1,243.09
12.43","8,700.00","5,446.05","","-24.11","","10.84"
"BAJAJ-AUTO","","","2,860.00","2,889.00","2,855.00","2,876.00","23.80","0.83","3.56
0.36 ","102.27
1.02","3,149.95","2,420.00","","0.28","","7.69"
"ULTRACEMCO","","","4,004.95","4,047.25","3,934.00","4,030.00","27.95","0.70","6.28
0.63 ","250.65
2.51","4,904.95","3,260.45","","-1.62","","-3.62"
"GRASIM","","","720.20","723.45","704.15","721.90","4.35","0.61","19.43
1.94 ","138.18
1.38","1,082.00","680.05","","-29.20","","1.73"
"INDUSINDBK","","","1,389.00","1,406.70","1,371.00","1,398.40","8.15","0.59","35.07
3.51 ","486.44
4.86","1,889.30","1,267.25","","-23.52","","1.82"
"TCS","","","2,135.00","2,157.95","2,115.55","2,143.00","9.40","0.44","22.91
2.29 ","489.36
4.89","2,296.20","1,784.35","","4.85","","-2.57"
"TECHM","","","705.25","711.30","701.00","708.60","3.05","0.43","10.73
1.07 ","75.95
0.76","846.50","607.15","","-4.22","","10.87"
"TATASTEEL","","","367.00","369.15","357.75","366.50","1.45","0.40","116.22
11.62 ","422.18
4.22","647.60","322.20","","-39.48","","5.10"
"ADANIPORTS","","","376.50","377.00","370.40","373.80","1.35","0.36","29.25
2.93 ","109.22
1.09","430.60","292.10","","-0.60","","3.67"
"CIPLA","","","468.05","469.65","464.50","469.45","1.65","0.35","8.19
0.82 ","38.26
0.38","678.45","449.20","","-28.49","","-1.32"
"HDFC","","","2,079.00","2,092.05","2,063.70","2,089.85","7.10","0.34","31.33
3.13 ","650.25
6.50","2,357.85","1,644.50","","11.29","","-0.49"
"ASIANPAINT","","","1,540.00","1,553.15","1,528.00","1,545.05","4.75","0.31","5.47
0.55 ","84.30
0.84","1,622.50","1,118.00","","19.68","","-1.80"
"WIPRO","","","245.00","247.40","243.20","245.20","0.65","0.27","38.10
3.81 ","93.37
0.93","301.60","222.01","","-25.41","","-5.15"
"LT","","","1,362.00","1,366.95","1,344.10","1,363.35","0.95","0.07","17.72
1.77 ","240.28
2.40","1,607.00","1,182.50","","0.82","","3.81"
"EICHERMOT","","","16,750.00","16,880.00","16,450.00","16,691.00","10.45","0.06","1.66
0.17 ","276.58
2.77","29,800.00","15,200.00","","-42.07","","0.28"
"HINDUNILVR","","","1,806.00","1,825.00","1,793.60","1,804.00","-1.40","-0.08","13.00
1.30 ","235.32
2.35","1,889.00","1,477.20","","10.89","","-1.14"
"YESBANK","","","67.00","69.50","64.10","67.80","-0.15","-0.22","2,782.86
278.29 ","1,853.38
18.53","328.95","53.20","","-78.43","","-7.88"
"BRITANNIA","","","2,681.00","2,682.00","2,642.00","2,670.00","-7.00","-0.26","2.46
0.25 ","65.48
0.65","3,316.00","2,300.00","","-55.61","","6.29"
"ITC","","","241.00","242.45","238.60","240.10","-0.65","-0.27","140.32
14.03 ","337.20
3.37","310.00","234.65","","-21.74","","-2.52"
"HDFCBANK","","","2,251.00","2,267.45","2,238.00","2,259.80","-11.05","-0.49","38.43
3.84 ","865.74
8.66","2,503.30","1,885.00","","12.32","","1.78"
"BHARTIARTL","","","347.60","349.70","340.90","344.00","-3.55","-1.02","49.20
4.92 ","168.78
1.69","378.75","253.99","","-8.68","","-2.18"
"DRREDDY","","","2,781.65","2,794.95","2,692.75","2,728.65","-38.40","-1.39","11.90
1.19 ","324.73
3.25","2,964.00","1,872.95","","7.89","","6.74"
"SUNPHARMA","","","430.45","432.85","421.10","421.80","-6.00","-1.40","68.48
6.85 ","291.00
2.91","670.90","344.55","","-35.10","","-3.97"
"IBULHSGFIN","","","451.00","454.45","432.00","437.95","-11.45","-2.55","184.04
18.40 ","814.28
8.14","1,234.75","405.00","","-61.75","","-23.58"
